frame,ax,ay
0,0.0,0.0
1,0.0,0.0
2,9900.0,-17100.0
3,2700.0,-11700.0
4,-1800.0,-10800.0
5,-6300.0,-10800.0
6,-1800.0,-3600.0
7,-10800.0,8100.0
8,9000.0,-900.0
9,0.0,4500.0
10,-900.0,2700.0
11,0.0,3600.0
12,0.0,2700.0
13,900.0,3600.0
14,-18000.0,9000.0
15,30600.0,-10800.0
16,-15300.0,9900.0
17,2700.0,3600.0
18,-900.0,5400.0
19,900.0,3600.0
20,-1800.0,1800.0
21,-900.0,2700.0
22,-900.0,-900.0
23,900.0,7200.0
24,1800.0,1800.0
25,-1800.0,0.0
26,0.0,5400.0
27,-2700.0,-4500.0
28,3600.0,7200.0
29,-1800.0,8100.0
30,900.0,0.0
31,3600.0,4500.0
32,-3600.0,0.0
33,9000.0,-2700.0
34,-14400.0,26100.0
35,7200.0,-14400.0
36,-3600.0,900.0
37,2700.0,2700.0
38,2700.0,5400.0
39,-2700.0,2700.0
40,900.0,2700.0
41,0.0,-8100.0
42,-6300.0,-17100.0
43,-1800.0,-4500.0
