frame,x,y,vx,vy,ax,ay
0,913,881,0.0,0.0,0.0,0.0
1,920,868,0.0,0.0,0.0,0.0
2,931,849,330.0,-570.0,9900.0,-17100.0
3,945,817,420.0,-960.0,2700.0,-11700.0
4,957,773,360.0,-1320.0,-1800.0,-10800.0
5,962,717,150.0,-1680.0,-6300.0,-10800.0
6,965,657,90.0,-1800.0,-1800.0,-3600.0
7,956,606,-270.0,-1530.0,-10800.0,8100.0
8,957,554,30.0,-1560.0,9000.0,-900.0
9,958,507,30.0,-1410.0,0.0,4500.0
10,958,463,0.0,-1320.0,-900.0,2700.0
11,958,423,0.0,-1200.0,0.0,3600.0
12,958,386,0.0,-1110.0,0.0,2700.0
13,959,353,30.0,-990.0,900.0,3600.0
14,940,330,-570.0,-690.0,-18000.0,9000.0
15,955,295,450.0,-1050.0,30600.0,-10800.0
16,953,271,-60.0,-720.0,-15300.0,9900.0
17,954,251,30.0,-600.0,2700.0,3600.0
18,954,237,0.0,-420.0,-900.0,5400.0
19,955,227,30.0,-300.0,900.0,3600.0
20,954,219,-30.0,-240.0,-1800.0,1800.0
21,952,214,-60.0,-150.0,-900.0,2700.0
22,949,208,-90.0,-180.0,-900.0,-900.0
23,947,210,-60.0,60.0,900.0,7200.0
24,947,214,0.0,120.0,1800.0,1800.0
25,945,218,-60.0,120.0,-1800.0,0.0
26,943,228,-60.0,300.0,0.0,5400.0
27,938,233,-150.0,150.0,-2700.0,-4500.0
28,937,246,-30.0,390.0,3600.0,7200.0
29,934,268,-90.0,660.0,-1800.0,8100.0
30,932,290,-60.0,660.0,900.0,0.0
31,934,317,60.0,810.0,3600.0,4500.0
32,932,344,-60.0,810.0,-3600.0,0.0
33,940,368,240.0,720.0,9000.0,-2700.0
34,932,421,-240.0,1590.0,-14400.0,26100.0
35,932,458,0.0,1110.0,7200.0,-14400.0
36,928,496,-120.0,1140.0,-3600.0,900.0
37,927,537,-30.0,1230.0,2700.0,2700.0
38,929,584,60.0,1410.0,2700.0,5400.0
39,928,634,-30.0,1500.0,-2700.0,2700.0
40,928,687,0.0,1590.0,900.0,2700.0
41,928,731,0.0,1320.0,0.0,-8100.0
42,921,756,-210.0,750.0,-6300.0,-17100.0
43,912,776,-270.0,600.0,-1800.0,-4500.0
