frame,vx,vy
0,0.0,0.0
1,0.0,0.0
2,330.0,-570.0
3,420.0,-960.0
4,360.0,-1320.0
5,150.0,-1680.0
6,90.0,-1800.0
7,-270.0,-1530.0
8,30.0,-1560.0
9,30.0,-1410.0
10,0.0,-1320.0
11,0.0,-1200.0
12,0.0,-1110.0
13,30.0,-990.0
14,-570.0,-690.0
15,450.0,-1050.0
16,-60.0,-720.0
17,30.0,-600.0
18,0.0,-420.0
19,30.0,-300.0
20,-30.0,-240.0
21,-60.0,-150.0
22,-90.0,-180.0
23,-60.0,60.0
24,0.0,120.0
25,-60.0,120.0
26,-60.0,300.0
27,-150.0,150.0
28,-30.0,390.0
29,-90.0,660.0
30,-60.0,660.0
31,60.0,810.0
32,-60.0,810.0
33,240.0,720.0
34,-240.0,1590.0
35,0.0,1110.0
36,-120.0,1140.0
37,-30.0,1230.0
38,60.0,1410.0
39,-30.0,1500.0
40,0.0,1590.0
41,0.0,1320.0
42,-210.0,750.0
43,-270.0,600.0
