time_s,x_m,y_m,vx,vy,ax,ay
0.0333,2.6501,2.5006,0.0000,0.0000,0.0000,0.0000
0.0667,2.6788,2.4431,0.8623,-1.7246,0.0000,0.0000
0.1000,2.7190,2.3483,1.2072,-2.8455,10.3473,-33.6287
0.1333,2.7535,2.2160,1.0347,-3.9665,-5.1737,-33.6287
0.1667,2.7679,2.0551,0.4311,-4.8287,-18.1078,-25.8683
0.2000,2.7708,1.8826,0.0862,-5.1737,-10.3473,-10.3473
0.2333,2.7765,1.7217,0.1725,-4.8287,2.5868,10.3473
0.2667,2.7823,1.5780,0.1725,-4.3114,0.0000,15.5210
0.3000,2.7851,1.4400,0.0862,-4.1389,-2.5868,5.1737
0.3333,2.7765,1.3222,-0.2587,-3.5353,-10.3473,18.1078
0.3667,2.7880,1.2101,0.3449,-3.3629,18.1078,5.1737
0.4000,2.7708,1.1037,-0.5174,-3.1904,-25.8683,5.1737
0.4333,2.7794,1.0089,0.2587,-2.8455,23.2814,10.3473
0.4667,2.7593,0.9255,-0.6036,-2.5006,-25.8683,10.3473
0.5000,2.7593,0.8479,0.0000,-2.3281,18.1078,5.1737
0.5333,2.7564,0.7789,-0.0862,-2.0695,-2.5868,7.7605
0.5667,2.7564,0.7243,0.0000,-1.6383,2.5868,12.9341
0.6000,2.7535,0.6726,-0.0862,-1.5521,-2.5868,2.5868
0.6333,2.7507,0.6438,-0.0862,-0.8623,0.0000,20.6946
0.6667,2.7535,0.6180,0.0862,-0.7760,5.1737,2.5868
0.7000,2.7535,0.5921,0.0000,-0.7760,-2.5868,-0.0000
0.7333,2.7478,0.5835,-0.1725,-0.2587,-5.1737,15.5210
0.7667,2.7478,0.5806,0.0000,-0.0862,5.1737,5.1737
0.8000,2.7392,0.5892,-0.2587,0.2587,-7.7605,10.3473
0.8333,2.7334,0.6093,-0.1725,0.6036,2.5868,10.3473
0.8667,2.7248,0.6381,-0.2587,0.8623,-2.5868,7.7605
0.9000,2.7248,0.6726,0.0000,1.0347,7.7605,5.1737
0.9333,2.7219,0.7157,-0.0862,1.2934,-2.5868,7.7605
0.9667,2.7219,0.7703,0.0000,1.6383,2.5868,10.3473
1.0000,2.7162,0.8335,-0.1725,1.8970,-5.1737,7.7605
1.0333,2.7133,0.9054,-0.0862,2.1557,2.5868,7.7605
1.0667,2.7104,0.9916,-0.0862,2.5868,0.0000,12.9341
1.1000,2.7047,1.0836,-0.1725,2.7593,-2.5868,5.1737
1.1333,2.6989,1.1899,-0.1725,3.1904,-0.0000,12.9341
1.1667,2.6960,1.2992,-0.0862,3.2766,2.5868,2.5868
1.2000,2.6874,1.4199,-0.2587,3.6216,-5.1737,10.3473
1.2333,2.6846,1.5521,-0.0862,3.9665,5.1737,10.3473
1.2667,2.6788,1.6901,-0.1725,4.1389,-2.5868,5.1737
1.3000,2.6759,1.8366,-0.0862,4.3976,2.5868,7.7605
1.3333,2.6759,1.9890,0.0000,4.5701,2.5868,5.1737
1.3667,2.6759,2.1212,0.0000,3.9665,0.0000,-18.1078
1.4000,2.6558,2.1902,-0.6036,2.0695,-18.1078,-56.9102
1.4333,2.6213,2.2448,-1.0347,1.6383,-12.9341,-12.9341
