frame,x,y,time,dt,dx,dy,vx,vy,dvx,dvy,ax,ay,x_m,y_m,vx_m,vy_m,ax_m,ay_m
0,493,70,0.00000,,,,,,,,,,1.05173,0.14933,,,,
1,493,70,0.03333,0.03333,0.00000,0.00000,0.00000,0.00000,,,,,1.05173,0.14933,0.00000,0.00000,,
2,493,70,0.06667,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.05173,0.14933,0.00000,0.00000,0.00000,0.00000
3,489,115,0.10000,0.03333,-4.00000,45.00000,-120.00000,1350.00000,-120.00000,1350.00000,-3600.00000,40500.00000,1.04320,0.24533,-0.25600,2.88000,-7.68000,86.40000
4,489,115,0.13333,0.03333,0.00000,0.00000,0.00000,0.00000,120.00000,-1350.00000,3600.00000,-40500.00000,1.04320,0.24533,0.00000,0.00000,7.68000,-86.40000
5,493,70,0.16667,0.03333,4.00000,-45.00000,120.00000,-1350.00000,120.00000,-1350.00000,3600.00000,-40500.00000,1.05173,0.14933,0.25600,-2.88000,7.68000,-86.40000
6,493,70,0.20000,0.03333,0.00000,0.00000,0.00000,0.00000,-120.00000,1350.00000,-3600.00000,40500.00000,1.05173,0.14933,0.00000,0.00000,-7.68000,86.40000
7,579,155,0.23333,0.03333,86.00000,85.00000,2580.00000,2550.00000,2580.00000,2550.00000,77400.00000,76500.00000,1.23520,0.33067,5.50400,5.44000,165.12000,163.20000
8,457,8,0.26667,0.03333,-122.00000,-147.00000,-3660.00000,-4410.00000,-6240.00000,-6960.00000,-187200.00000,-208800.00000,0.97493,0.01707,-7.80800,-9.40800,-399.36000,-445.44000
9,579,155,0.30000,0.03333,122.00000,147.00000,3660.00000,4410.00000,7320.00000,8820.00000,219600.00000,264600.00000,1.23520,0.33067,7.80800,9.40800,468.48000,564.48000
10,582,156,0.33333,0.03333,3.00000,1.00000,90.00000,30.00000,-3570.00000,-4380.00000,-107100.00000,-131400.00000,1.24160,0.33280,0.19200,0.06400,-228.48000,-280.32000
11,525,185,0.36667,0.03333,-57.00000,29.00000,-1710.00000,870.00000,-1800.00000,840.00000,-54000.00000,25200.00000,1.12000,0.39467,-3.64800,1.85600,-115.20000,53.76000
12,525,185,0.40000,0.03333,0.00000,0.00000,0.00000,0.00000,1710.00000,-870.00000,51300.00000,-26100.00000,1.12000,0.39467,0.00000,0.00000,109.44000,-55.68000
13,460,14,0.43333,0.03333,-65.00000,-171.00000,-1950.00000,-5130.00000,-1950.00000,-5130.00000,-58500.00000,-153900.00000,0.98133,0.02987,-4.16000,-10.94400,-124.80000,-328.32000
14,579,155,0.46667,0.03333,119.00000,141.00000,3570.00000,4230.00000,5520.00000,9360.00000,165600.00000,280800.00000,1.23520,0.33067,7.61600,9.02400,353.28000,599.04000
15,579,154,0.50000,0.03333,0.00000,-1.00000,0.00000,-30.00000,-3570.00000,-4260.00000,-107100.00000,-127800.00000,1.23520,0.32853,0.00000,-0.06400,-228.48000,-272.64000
16,579,155,0.53333,0.03333,0.00000,1.00000,0.00000,30.00000,0.00000,60.00000,0.00000,1800.00000,1.23520,0.33067,0.00000,0.06400,0.00000,3.84000
17,435,7,0.56667,0.03333,-144.00000,-148.00000,-4320.00000,-4440.00000,-4320.00000,-4470.00000,-129600.00000,-134100.00000,0.92800,0.01493,-9.21600,-9.47200,-276.48000,-286.08000
18,439,9,0.60000,0.03333,4.00000,2.00000,120.00000,60.00000,4440.00000,4500.00000,133200.00000,135000.00000,0.93653,0.01920,0.25600,0.12800,284.16000,288.00000
19,440,11,0.63333,0.03333,1.00000,2.00000,30.00000,60.00000,-90.00000,0.00000,-2700.00000,0.00000,0.93867,0.02347,0.06400,0.12800,-5.76000,0.00000
20,439,9,0.66667,0.03333,-1.00000,-2.00000,-30.00000,-60.00000,-60.00000,-120.00000,-1800.00000,-3600.00000,0.93653,0.01920,-0.06400,-0.12800,-3.84000,-7.68000
21,439,9,0.70000,0.03333,0.00000,0.00000,0.00000,0.00000,30.00000,60.00000,900.00000,1800.00000,0.93653,0.01920,0.00000,0.00000,1.92000,3.84000
22,439,9,0.73333,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93653,0.01920,0.00000,0.00000,0.00000,0.00000
