frame,x,y,time,dt,dx,dy,vx,vy,dvx,dvy,ax,ay,x_m,y_m,vx_m,vy_m,ax_m,ay_m
9,389,1346,0.30000,,,,,,,,,,0.82987,2.87147,,,,
10,426,1306,0.33333,0.03333,37.00000,-40.00000,1110.00000,-1200.00000,,,,,0.90880,2.78613,2.36800,-2.56000,,
11,463,1249,0.36667,0.03333,37.00000,-57.00000,1110.00000,-1710.00000,0.00000,-510.00000,0.00000,-15300.00000,0.98773,2.66453,2.36800,-3.64800,0.00000,-32.64000
14,541,996,0.46667,0.10000,78.00000,-253.00000,780.00000,-2530.00000,-330.00000,-820.00000,-3300.00000,-8200.00000,1.15413,2.12480,1.66400,-5.39733,-7.04000,-17.49333
16,528,797,0.53333,0.06667,-13.00000,-199.00000,-195.00000,-2985.00000,-975.00000,-455.00000,-14625.00000,-6825.00000,1.12640,1.70027,-0.41600,-6.36800,-31.20000,-14.56000
17,522,710,0.56667,0.03333,-6.00000,-87.00000,-180.00000,-2610.00000,15.00000,375.00000,450.00000,11250.00000,1.11360,1.51467,-0.38400,-5.56800,0.96000,24.00000
18,515,625,0.60000,0.03333,-7.00000,-85.00000,-210.00000,-2550.00000,-30.00000,60.00000,-900.00000,1800.00000,1.09867,1.33333,-0.44800,-5.44000,-1.92000,3.84000
19,511,545,0.63333,0.03333,-4.00000,-80.00000,-120.00000,-2400.00000,90.00000,150.00000,2700.00000,4500.00000,1.09013,1.16267,-0.25600,-5.12000,5.76000,9.60000
20,504,477,0.66667,0.03333,-7.00000,-68.00000,-210.00000,-2040.00000,-90.00000,360.00000,-2700.00000,10800.00000,1.07520,1.01760,-0.44800,-4.35200,-5.76000,23.04000
21,498,410,0.70000,0.03333,-6.00000,-67.00000,-180.00000,-2010.00000,30.00000,30.00000,900.00000,900.00000,1.06240,0.87467,-0.38400,-4.28800,1.92000,1.92000
22,492,350,0.73333,0.03333,-6.00000,-60.00000,-180.00000,-1800.00000,0.00000,210.00000,0.00000,6300.00000,1.04960,0.74667,-0.38400,-3.84000,0.00000,13.44000
23,487,301,0.76667,0.03333,-5.00000,-49.00000,-150.00000,-1470.00000,30.00000,330.00000,900.00000,9900.00000,1.03893,0.64213,-0.32000,-3.13600,1.92000,21.12000
24,481,255,0.80000,0.03333,-6.00000,-46.00000,-180.00000,-1380.00000,-30.00000,90.00000,-900.00000,2700.00000,1.02613,0.54400,-0.38400,-2.94400,-1.92000,5.76000
25,476,216,0.83333,0.03333,-5.00000,-39.00000,-150.00000,-1170.00000,30.00000,210.00000,900.00000,6300.00000,1.01547,0.46080,-0.32000,-2.49600,1.92000,13.44000
26,471,189,0.86667,0.03333,-5.00000,-27.00000,-150.00000,-810.00000,0.00000,360.00000,0.00000,10800.00000,1.00480,0.40320,-0.32000,-1.72800,0.00000,23.04000
27,466,165,0.90000,0.03333,-5.00000,-24.00000,-150.00000,-720.00000,0.00000,90.00000,0.00000,2700.00000,0.99413,0.35200,-0.32000,-1.53600,0.00000,5.76000
28,461,150,0.93333,0.03333,-5.00000,-15.00000,-150.00000,-450.00000,0.00000,270.00000,0.00000,8100.00000,0.98347,0.32000,-0.32000,-0.96000,0.00000,17.28000
29,456,143,0.96667,0.03333,-5.00000,-7.00000,-150.00000,-210.00000,0.00000,240.00000,0.00000,7200.00000,0.97280,0.30507,-0.32000,-0.44800,0.00000,15.36000
30,451,145,1.00000,0.03333,-5.00000,2.00000,-150.00000,60.00000,0.00000,270.00000,0.00000,8100.00000,0.96213,0.30933,-0.32000,0.12800,0.00000,17.28000
31,447,152,1.03333,0.03333,-4.00000,7.00000,-120.00000,210.00000,30.00000,150.00000,900.00000,4500.00000,0.95360,0.32427,-0.25600,0.44800,1.92000,9.60000
32,443,167,1.06667,0.03333,-4.00000,15.00000,-120.00000,450.00000,-0.00000,240.00000,-0.00000,7200.00000,0.94507,0.35627,-0.25600,0.96000,-0.00000,15.36000
33,439,193,1.10000,0.03333,-4.00000,26.00000,-120.00000,780.00000,0.00000,330.00000,0.00000,9900.00000,0.93653,0.41173,-0.25600,1.66400,0.00000,21.12000
34,435,225,1.13333,0.03333,-4.00000,32.00000,-120.00000,960.00000,-0.00000,180.00000,-0.00000,5400.00000,0.92800,0.48000,-0.25600,2.04800,-0.00000,11.52000
35,431,263,1.16667,0.03333,-4.00000,38.00000,-120.00000,1140.00000,0.00000,180.00000,0.00000,5400.00000,0.91947,0.56107,-0.25600,2.43200,0.00000,11.52000
36,428,311,1.20000,0.03333,-3.00000,48.00000,-90.00000,1440.00000,30.00000,300.00000,900.00000,9000.00000,0.91307,0.66347,-0.19200,3.07200,1.92000,19.20000
37,425,365,1.23333,0.03333,-3.00000,54.00000,-90.00000,1620.00000,0.00000,180.00000,0.00000,5400.00000,0.90667,0.77867,-0.19200,3.45600,0.00000,11.52000
38,422,423,1.26667,0.03333,-3.00000,58.00000,-90.00000,1740.00000,-0.00000,120.00000,-0.00000,3600.00000,0.90027,0.90240,-0.19200,3.71200,-0.00000,7.68000
39,419,495,1.30000,0.03333,-3.00000,72.00000,-90.00000,2160.00000,0.00000,420.00000,0.00000,12600.00000,0.89387,1.05600,-0.19200,4.60800,0.00000,26.88000
40,417,571,1.33333,0.03333,-2.00000,76.00000,-60.00000,2280.00000,30.00000,120.00000,900.00000,3600.00000,0.88960,1.21813,-0.12800,4.86400,1.92000,7.68000
41,413,650,1.36667,0.03333,-4.00000,79.00000,-120.00000,2370.00000,-60.00000,90.00000,-1800.00000,2700.00000,0.88107,1.38667,-0.25600,5.05600,-3.84000,5.76000
42,411,740,1.40000,0.03333,-2.00000,90.00000,-60.00000,2700.00000,60.00000,330.00000,1800.00000,9900.00000,0.87680,1.57867,-0.12800,5.76000,3.84000,21.12000
43,411,835,1.43333,0.03333,0.00000,95.00000,0.00000,2850.00000,60.00000,150.00000,1800.00000,4500.00000,0.87680,1.78133,0.00000,6.08000,3.84000,9.60000
44,410,934,1.46667,0.03333,-1.00000,99.00000,-30.00000,2970.00000,-30.00000,120.00000,-900.00000,3600.00000,0.87467,1.99253,-0.06400,6.33600,-1.92000,7.68000
